74,φῶς,48,'light; light; fire; in light',NON-NNS | NON-NAS
75,ζωῆς,47,'of life; life; living; of a life',NON-FGS
76,ποῦ,47,'where; where [the]; [place] where; are where; what',PAR
77,πρό,47,'before; before [the]; above; ago; just outside',PAR
78,οἷς,46,'to whom; whom; for whom; to one; to them',PRO-MDP | PRO-NDP
79,οὐαί,46,'woe; but woe; woe [to him]; woe to; woe to you',PAR | PAR
80,ποιῆσαι,46,'to do; to make; to act; to produce; doing',VRB-AoAInf
81,πᾶσα,46,'all; every; any',ADJ-FNS
82,ἅγιον,46,'holy; holy [is]; holy [one]; holy; holy',ADJ-NNS | ADJ-NAS | ADJ-MAS
83,ἔχοντες,46,'having; being; [those] having; keeping; we are having',VRB-PrAParMNP
84,αἰώνιον,45,'eternal; eternal; an eternal; everlasting; eternal',ADJ-FAS | ADJ-NAS | ADJ-MAS | ADJ-NNS
85,λόγῳ,45,'word; speech; in word; by [the] word; by a word',NON-MDS
86,πάσῃ,45,'all; every; complete; conscience; in all',ADJ-FDS
87,τινά,45,'any; anyone; certain; someone; one',PRO-MAS | PRO-FAS | PRO-NAP | PRO-NNP
88,ἐθνῶν,45,'gentiles; nations; of [the] gentiles; of gentiles; of the gentiles',NON-NGP
89,λαόν,44,'people',NON-MAS
90,οὐρανόν,43,'heaven; sky',NON-MAS
91,πρόσωπον,43,'face; appearance; [his] face; [any] person; face',NON-NAS | NON-NNS
92,ἀδελφός,43,'brother',NON-MNS
93,ἀληθείας,43,'truth; of truth; of [the] truth',NON-FGS
94,ἔχομεν,43,'we have; have we; have',VRB-PrAInd1P
95,πάσης,42,'all; of all; every; of full; over all',ADJ-FGS
96,ἁγίου,42,'holy; holy; holy [one]',ADJ-NGS | ADJ-MGS
97,ἔργων,42,'works; deeds; of works',NON-NGP
98,ἑαυτῶν,41,'of themselves; of them; their own; them; you',PRO-MGP | PRO-FGP | PRO-NGP
99,ἰδόντες,41,'having seen; having seen [it]; having seen [them]; they had seen',VRB-AoAParMNP
100,θέλημα,40,'will; will; [his] will; [is the] will',NON-NAS | NON-NNS
101,λαβών,40,'having taken; having received; having procured; having received [it]; having taken [it]',VRB-AoAParMNS
102,φωνήν,40,'voice; [their] voice; sound; [her] voice; tone',NON-FAS
103,ψυχήν,40,'life; soul; in [his] soul',NON-FAS
104,εἰρήνη,39,'peace; peace [be]',NON-FNS
105,σαρκί,39,'flesh; in [the] flesh; [in the] flesh; with flesh',NON-FDS
106,ἁγίων,38,'saints; holy; of saints; of the saints; saints’',ADJ-MGP | ADJ-NGP
107,ἔργον,38,'work; deed; work',NON-NAS | NON-NNS
108,ἕκαστος,38,'each; each one; each [of them]; each man; every one',ADJ-MNS
109,ἰδεῖν,38,'to see; saw',VRB-AoAInf
110,σάρκα,37,'flesh; flesh [were]',NON-FAS
111,σαρκός,37,'flesh; of flesh; of [the] flesh; [of the] flesh',NON-FGS
112,ὀφθαλμούς,37,'eyes; gaze',NON-MAP
113,ᾗ,37,'which; that; in which; in that; whose',PRO-FDS
114,δικαιοσύνην,36,'righteousness; justice',NON-FAS
115,καλῶς,36,'well; rightly; good; correctly; honorably',PAR
116,κόσμῳ,36,'world; [to the] world; in this world',NON-MDS
117,οὐρανοῖς,36,'heavens',NON-MDP
118,σώματος,36,'body; of [the] body',NON-NGS
119,ἀγάπη,36,'love; love [be]; love [is]',NON-FNS
120,ἄρτι,36,'now; presently; at present; now [though]; present',PAR
121,δοῦλος,35,'servant; slave; [being] a slave; slave [being]',NON-MNS
122,δόξα,35,'glory; [be] glory',NON-FNS
123,ὀπίσω,35,'after; behind; behind; back; around',PAR | PAR
124,οἵ,34,'who; [they]; that; they who; those',PRO-MNP | ART-MNP
125,παντός,34,'all; everything; every; everyone; always',ADJ-MGS | ADJ-NGS
126,ποιεῖτε,34,'you are doing; you do; are you doing; do you; are doing',VRB-PrAInd2P | VRB-PrAImp2P
127,αἵματος,33,'blood; of blood; from blood; of [the] blood',NON-NGS
128,δύναμιν,33,'power; [their] ability; ability; work of power',NON-FAS
129,πατρί,33,'father; to father',NON-MDS
130,τέλος,33,'end; outcome; an end; revenue; utmost',NON-NAS | NON-NNS
131,φωνῇ,33,'in a voice; voice; to a voice',NON-FDS
